bundle_id,sha256,md5,tool_input_filename,tool_input_relative_path,blind_relative_path,structured_relative_path,sample_type,attack_family,attack_name,final_label,original_image_id,generated_image_id
bundle_000001,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,bundle_000001.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000001.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000001.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000001_img_00012915.jpg,clean,none,clean,non_weapon,img_00012915,img_00012915
bundle_000002,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,bundle_000002.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000002.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000002.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000002_img_00012922.jpg,clean,none,clean,non_weapon,img_00012922,img_00012922
bundle_000003,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,bundle_000003.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000003.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000003.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000003_img_00013086.jpg,clean,none,clean,non_weapon,img_00013086,img_00013086
bundle_000004,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,bundle_000004.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000004.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000004.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000004_img_00013088.jpg,clean,none,clean,non_weapon,img_00013088,img_00013088
bundle_000005,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,bundle_000005.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000005.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000005.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000005_img_00013098.jpg,clean,none,clean,non_weapon,img_00013098,img_00013098
bundle_000006,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,bundle_000006.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000006.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000006.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000006_img_00013102.jpg,clean,none,clean,non_weapon,img_00013102,img_00013102
bundle_000007,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,bundle_000007.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000007.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000007.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000007_img_00013494.jpg,clean,none,clean,non_weapon,img_00013494,img_00013494
bundle_000008,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,bundle_000008.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000008.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000008.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000008_img_00013495.jpg,clean,none,clean,non_weapon,img_00013495,img_00013495
bundle_000009,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,bundle_000009.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000009.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000009.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000009_img_00013559.jpg,clean,none,clean,non_weapon,img_00013559,img_00013559
bundle_000010,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,bundle_000010.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000010.jpg,datasets/forensic_evaluation_bundle/blind_tool_input/files/bundle_000010.jpg,datasets/forensic_evaluation_bundle/structured_audit_view/clean/fold_1/non_weapon/bundle_000010_img_00013614.jpg,clean,none,clean,non_weapon,img_00013614,img_00013614
